name,statement_text,section_level_0,section_level_1,section_level_2,outcome_measure
input\Prot_000,"The primary objective of the study is to compare the efficacy of brigatinib to that of crizotinib in ALK+ locally advanced or metastatic NSCLC patients naive to ALK inhibitors, as evidenced by PFS.",objectives-endpoints-section,primary-objective,efficacy-objective,PFS
input\Prot_000,"To compare the efficacy of brigatinib to that of crizotinib, as evidenced by confirmed ORR, time to/duration of response, disease control rate (DCR), and Overall Survival (OS).",objectives-endpoints-section,secondary-objective,efficacy-objective,"ORR, DCR, OS"
input\Prot_000,"To compare the efficacy in the CNS of brigatinib to that of crizotinib, as evidenced by intracranial response and intracranial PFS in those patients with intracranial CNS metastases at baseline.",objectives-endpoints-section,secondary-objective,efficacy-objective,"intracranial response, intracranial PFS"
input\Prot_000,To assess the safety and tolerability of brigatinib in comparison with crizotinib.,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_000,To determine PK parameters of brigatinib through population PK modeling.,objectives-endpoints-section,secondary-objective,pharmacokinetic-objective,Pharmacokinetics
input\Prot_000,"To assess patient-reported symptoms and health-related quality of life (HRQoL) with the European Organisation for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (QLQ)-C30 (v3.0) and its lung cancer module, QLQ-LC13 (v3.0) in patients treated with brigatinib compared to those treated with crizotinib.",objectives-endpoints-section,secondary-objective,efficacy-objective,Quality of Life
input\Prot_000,"PFS, as assessed by the BIRC, per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.",objectives-endpoints-section,primary-objective,efficacy-objective,PFS
input\Prot_000,"Confirmed ORR, as assessed by the BIRC, per RECIST v1.1.",objectives-endpoints-section,secondary-objective,efficacy-objective,ORR
input\Prot_000,"Confirmed intracranial ORR, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,intracranial ORR
input\Prot_000,"Intracranial PFS, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,intracranial PFS
input\Prot_000,OS.,objectives-endpoints-section,secondary-objective,efficacy-objective,OS
input\Prot_000,"Duration of response, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,Duration of response
input\Prot_000,"Time to response, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,Time to response
input\Prot_000,"Disease control rate, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,DCR
input\Prot_000,Safety and tolerability.,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_000,"Change from baseline scores in global health status/quality of life (QOL) assessed with the EORTC QLQ-C30 (v3.0), and time-to-deterioration in dyspnea assessed with the EORTC QLQ-LC13 (v3.0).",objectives-endpoints-section,secondary-objective,efficacy-objective,Quality of Life
input\Prot_000,"The primary endpoint is PFS, as assessed by the BIRC, per RECIST v1.1.",objectives-endpoints-section,primary-objective,efficacy-objective,PFS
input\Prot_000,"Confirmed ORR, as assessed by the BIRC, per RECIST v1.1",objectives-endpoints-section,secondary-objective,efficacy-objective,ORR
input\Prot_000,"Confirmed intracranial ORR, as assessed by the BIRC",objectives-endpoints-section,secondary-objective,efficacy-objective,Intracranial ORR
input\Prot_000,"Intracranial PFS, as assessed by the BIRC",objectives-endpoints-section,secondary-objective,efficacy-objective,Intracranial PFS
input\Prot_000,OS,objectives-endpoints-section,secondary-objective,efficacy-objective,OS
input\Prot_000,"Duration of response, as assessed by the BIRC",objectives-endpoints-section,secondary-objective,efficacy-objective,Duration of response
input\Prot_000,"Time to response, as assessed by the BIRC",objectives-endpoints-section,secondary-objective,efficacy-objective,Time to response
input\Prot_000,"Disease control rate, as assessed by the BIRC",objectives-endpoints-section,secondary-objective,efficacy-objective,DCR
input\Prot_000,Safety and tolerability,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_000,"Change from baseline scores in global health status/QOL assessed with the EORTC QLQ-C30 (v3.0), and time-to-deterioration in dyspnea assessed with the EORTC QLQ-LC13 (v3.0)",objectives-endpoints-section,secondary-objective,efficacy-objective,Quality of Life
input\Prot_001,The primary objective is to assess clinical benefit rate after 24 weeks of treatment with PDROO1+LAGS25 based on local investigator assessment.,objectives-endpoints-section,primary-objective,efficacy-objective,CBR
input\Prot_001,Assess ORR by RECIST 1.1 in solid tumors and by the Revised Response Criteria for Malignant Lymphoma (Cheson et al 2007).,objectives-endpoints-section,secondary-objective,efficacy-objective,ORR
input\Prot_001,The primary objective is to assess the clinical benefit of treatment with PDROOI + LAGS25 at 24 weeks of treatment based on local investigator assessment.,objectives-endpoints-section,primary-objective,efficacy-objective,Clinical Benefit
input\Prot_001,"The primary efficacy variable is the clinical benefit rate (CBR) (e.g. defined as CR, PR or SD) at week 24 by RECIST 1.1 for solid tumors and the Revised Response Criteria for Malignant Lymphoma, (Cheson et al 2007), for Lymphoma.",objectives-endpoints-section,primary-objective,efficacy-objective,CBR
input\Prot_001,To assess Overall Response (OR) of Partial Response (PR) or Complete Response (CR) based on local investigator assessment.,objectives-endpoints-section,secondary-objective,efficacy-objective,ORR
input\Prot_001,"To assess the following, based on local investigator assessment per RECIST 1.1 for solid tumors, or the Revised Response Criteria for Malignant Lymphoma (Cheson et al 2007) for lymphoma: Time to Progression (TTP)",objectives-endpoints-section,secondary-objective,efficacy-objective,TTP
input\Prot_001,"To assess the following, based on local investigator assessment per RECIST 1.1 for solid tumors, or the Revised Response Criteria for Malignant Lymphoma (Cheson et al 2007) for lymphoma: Time to Response (TTR)",objectives-endpoints-section,secondary-objective,efficacy-objective,TTR
input\Prot_001,"To assess the following, based on local investigator assessment per RECIST 1.1 for solid tumors, or the Revised Response Criteria for Malignant Lymphoma (Cheson et al 2007) for lymphoma: Progression Free Survival (PFS)",objectives-endpoints-section,secondary-objective,efficacy-objective,PFS
input\Prot_001,"To assess the following, based on local investigator assessment per RECIST 1.1 for solid tumors, or the Revised Response Criteria for Malignant Lymphoma (Cheson et al 2007) for lymphoma: Duration of Response (DOR)",objectives-endpoints-section,secondary-objective,efficacy-objective,DOR
input\Prot_001,To assess safety and tolerability.,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_002,To evaluate the pharmacokinetic (PK) profile of Trilaciclib in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,primary-objective,pharmacokinetic-objective,Pharmacokinetics
input\Prot_002,To evaluate the safety and tolerability of Trilaciclib in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,primary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_002,To evaluate the effectiveness of Trilaciclib (prevention of chemotherapy-induced myelosuppression) in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,primary-objective,efficacy-objective,Prevention of chemotherapy-induced myelosuppression
input\Prot_002,To comprehensively evaluate the myeloprotective effect of Trilaciclib in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,secondary-objective,efficacy-objective,Myeloprotective effect
input\Prot_002,To evaluate the short-term antitumor efficacy of Trilaciclib in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,secondary-objective,efficacy-objective,Short-term antitumor efficacy
input\Prot_002,To evaluate the long-term antitumor efficacy of Trilaciclib in patients with extensive stage small cell lung cancer.,objectives-endpoints-section,exploratory-objective,efficacy-objective,Long-term antitumor efficacy
input\Prot_002,Population pharmacokinetic profile.,objectives-endpoints-section,exploratory-objective,pharmacokinetic-objective,Population pharmacokinetics
input\Prot_002,"PK profile (Cmax, AUC and other PK parameters).",objectives-endpoints-section,primary-objective,pharmacokinetic-objective,Pharmacokinetics
input\Prot_002,"Safety and tolerability: adverse events, laboratory abnormalities, etc.",objectives-endpoints-section,primary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_002,Duration of severe neutropenia in Cycle 1 (DSN).,objectives-endpoints-section,primary-objective,efficacy-objective,Duration of severe neutropenia
input\Prot_002,Occurrence of severe neutropenia (SN).,objectives-endpoints-section,secondary-objective,efficacy-objective,Occurrence of severe neutropenia
input\Prot_002,Occurrence of red blood cell transfusion (on/after Week 5).,objectives-endpoints-section,secondary-objective,efficacy-objective,Red blood cell transfusion
input\Prot_002,Granulocyte colony stimulating factor (G-CSF) use rate.,objectives-endpoints-section,secondary-objective,efficacy-objective,G-CSF use rate
input\Prot_002,"Composite endpointâ€“major adverse hematologic event (Any of the following): All-cause hospitalization, All-cause chemotherapy dose reductions, Febrile neutropenia, SN prolongation (lasting > 5 days), RBC transfusion on/after Week 5.",objectives-endpoints-section,secondary-objective,efficacy-objective,Major adverse hematologic event
input\Prot_002,Occurrence of Grade 3 and 4 hematological toxicities.,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Grade 3 and 4 hematological toxicities
input\Prot_002,The primary endpoint was DSN in Cycle 1.,objectives-endpoints-section,primary-objective,efficacy-objective,DSN
input\Prot_002,Key secondary efficacy endpoints included SN occurrence.,objectives-endpoints-section,secondary-objective,efficacy-objective,SN occurrence
input\Prot_002,Key secondary efficacy endpoints included occurrence of red blood cell transfusion (on/after Week 5).,objectives-endpoints-section,secondary-objective,efficacy-objective,red blood cell transfusion
input\Prot_002,Key secondary efficacy endpoints included occurrence of use of granulocyte colony-stimulating factor (G-CSF).,objectives-endpoints-section,secondary-objective,efficacy-objective,use of G-CSF
input\Prot_002,Key secondary efficacy endpoints included composite endpoint - major hematological adverse events.,objectives-endpoints-section,secondary-objective,efficacy-objective,major hematological adverse events
